"GEO_ID","NAME","P2_001N","P2_001NA","P2_002N","P2_002NA","P2_003N","P2_003NA","P2_004N","P2_004NA",
"Geography","Geographic Area Name"," !!Total:","Annotation of  !!Total:"," !!Total:!!Urban","Annotation of  !!Total:!!Urban"," !!Total:!!Rural","Annotation of  !!Total:!!Rural"," !!Total:!!Not defined for this file","Annotation of  !!Total:!!Not defined for this file",
"0500000US08119","Teller County, Colorado","24710","null","9864","null","14846","null","0","null",
"0500000US08121","Washington County, Colorado","4817","null","0","null","4817","null","0","null",
"0500000US08123","Weld County, Colorado","328981","null","263140","null","65841","null","0","null",
"0500000US08125","Yuma County, Colorado","9988","null","0","null","9988","null","0","null",
"0500000US09001","Fairfield County, Connecticut","957419","null","904300","null","53119","null","0","null",
"0500000US09003","Hartford County, Connecticut","899498","null","847498","null","52000","null","0","null",
"0500000US09005","Litchfield County, Connecticut","185186","null","100961","null","84225","null","0","null",
"0500000US09007","Middlesex County, Connecticut","164245","null","116289","null","47956","null","0","null",
"0500000US09009","New Haven County, Connecticut","864835","null","820255","null","44580","null","0","null",
"0500000US09011","New London County, Connecticut","268555","null","188854","null","79701","null","0","null",
"0500000US09013","Tolland County, Connecticut","149788","null","74467","null","75321","null","0","null",
"0500000US09015","Windham County, Connecticut","116418","null","57529","null","58889","null","0","null",
"0500000US10001","Kent County, Delaware","181851","null","133712","null","48139","null","0","null",
"0500000US10003","New Castle County, Delaware","570719","null","535938","null","34781","null","0","null",
"0500000US10005","Sussex County, Delaware","237378","null","148167","null","89211","null","0","null",
"0500000US11001","District of Columbia, District of Columbia","689545","null","689545","null","0","null","0","null",
"0500000US12001","Alachua County, Florida","278468","null","213748","null","64720","null","0","null",
"0500000US12003","Baker County, Florida","28259","null","10881","null","17378","null","0","null",
"0500000US12005","Bay County, Florida","175216","null","150319","null","24897","null","0","null",
"0500000US12007","Bradford County, Florida","28303","null","8279","null","20024","null","0","null",
"0500000US12009","Brevard County, Florida","606612","null","583073","null","23539","null","0","null",
"0500000US12011","Broward County, Florida","1944375","null","1944223","null","152","null","0","null",
"0500000US12013","Calhoun County, Florida","13648","null","0","null","13648","null","0","null",
"0500000US12015","Charlotte County, Florida","186847","null","174702","null","12145","null","0","null",
"0500000US12017","Citrus County, Florida","153843","null","115422","null","38421","null","0","null",
"0500000US12019","Clay County, Florida","218245","null","186762","null","31483","null","0","null",
"0500000US12021","Collier County, Florida","375752","null","332079","null","43673","null","0","null",
"0500000US12023","Columbia County, Florida","69698","null","25334","null","44364","null","0","null",
"0500000US12027","DeSoto County, Florida","33976","null","17342","null","16634","null","0","null",
